"No.","Time","Source","Destination","Protocol","Identification"
"62","2022-03-11 12:07:27,018772015","192.168.2.10","192.168.2.6","UDP","0xfb9e (64414)"
"63","2022-03-11 12:07:27,045855385","192.168.2.10","192.168.2.6","UDP","0xfba6 (64422)"
"64","2022-03-11 12:07:27,071832903","192.168.2.10","192.168.2.6","UDP","0xfbaf (64431)"
"65","2022-03-11 12:07:27,097732108","192.168.2.10","192.168.2.6","UDP","0xfbc8 (64456)"
"66","2022-03-11 12:07:27,123794138","192.168.2.10","192.168.2.6","UDP","0xfbcb (64459)"
"67","2022-03-11 12:07:27,149793219","192.168.2.10","192.168.2.6","UDP","0xfbdc (64476)"
"68","2022-03-11 12:07:27,175791001","192.168.2.10","192.168.2.6","UDP","0xfbe0 (64480)"
"69","2022-03-11 12:07:27,201710934","192.168.2.10","192.168.2.6","UDP","0xfbef (64495)"
"70","2022-03-11 12:07:27,227758245","192.168.2.10","192.168.2.6","UDP","0xfbf5 (64501)"
"71","2022-03-11 12:07:27,253664426","192.168.2.10","192.168.2.6","UDP","0xfbfe (64510)"
"72","2022-03-11 12:07:27,279781480","192.168.2.10","192.168.2.6","UDP","0xfc02 (64514)"
"73","2022-03-11 12:07:27,305742653","192.168.2.10","192.168.2.6","UDP","0xfc0a (64522)"
"74","2022-03-11 12:07:27,331604940","192.168.2.10","192.168.2.6","UDP","0xfc0d (64525)"
"75","2022-03-11 12:07:27,357823604","192.168.2.10","192.168.2.6","UDP","0xfc16 (64534)"
"76","2022-03-11 12:07:27,384755316","192.168.2.10","192.168.2.6","UDP","0xfc20 (64544)"
"77","2022-03-11 12:07:27,410706439","192.168.2.10","192.168.2.6","UDP","0xfc24 (64548)"
"78","2022-03-11 12:07:27,436715826","192.168.2.10","192.168.2.6","UDP","0xfc2f (64559)"
"79","2022-03-11 12:07:27,462705890","192.168.2.10","192.168.2.6","UDP","0xfc39 (64569)"
"80","2022-03-11 12:07:27,488684898","192.168.2.10","192.168.2.6","UDP","0xfc47 (64583)"
"81","2022-03-11 12:07:27,514729306","192.168.2.10","192.168.2.6","UDP","0xfc57 (64599)"
"82","2022-03-11 12:07:27,541851150","192.168.2.10","192.168.2.6","UDP","0xfc61 (64609)"
"83","2022-03-11 12:07:27,567761055","192.168.2.10","192.168.2.6","UDP","0xfc77 (64631)"
"84","2022-03-11 12:07:27,593775203","192.168.2.10","192.168.2.6","UDP","0xfc7a (64634)"
"85","2022-03-11 12:07:27,620681041","192.168.2.10","192.168.2.6","UDP","0xfc95 (64661)"
"86","2022-03-11 12:07:27,646729883","192.168.2.10","192.168.2.6","UDP","0xfcab (64683)"
"87","2022-03-11 12:07:27,673762390","192.168.2.10","192.168.2.6","UDP","0xfcad (64685)"
"88","2022-03-11 12:07:27,699675208","192.168.2.10","192.168.2.6","UDP","0xfcbf (64703)"
