2022-03-11 10:56:40.368003,2022-03-11 10:56:40.361396,0.006607,251
2022-03-11 10:56:40.395074,2022-03-11 10:56:40.388467,0.006607,254
2022-03-11 10:56:40.446952,2022-03-11 10:56:40.440340,0.006612,251
2022-03-11 10:56:40.472919,2022-03-11 10:56:40.466349,0.006570,253
2022-03-11 10:56:40.499230,2022-03-11 10:56:40.492608,0.006622,251
2022-03-11 10:56:40.525943,2022-03-11 10:56:40.519377,0.006566,252
2022-03-11 10:56:40.577924,2022-03-11 10:56:40.571304,0.006620,252
2022-03-11 10:56:40.603966,2022-03-11 10:56:40.597399,0.006567,251
2022-03-11 10:56:40.629929,2022-03-11 10:56:40.623359,0.006570,252
2022-03-11 10:56:40.655954,2022-03-11 10:56:40.649328,0.006626,253
2022-03-11 10:56:40.682131,2022-03-11 10:56:40.675509,0.006622,251
2022-03-11 10:56:40.734011,2022-03-11 10:56:40.727393,0.006618,252
2022-03-11 10:56:40.759954,2022-03-11 10:56:40.753346,0.006608,253
2022-03-11 10:56:40.785963,2022-03-11 10:56:40.779385,0.006578,253
2022-03-11 10:56:40.811976,2022-03-11 10:56:40.805360,0.006616,253
2022-03-11 10:56:40.837859,2022-03-11 10:56:40.831284,0.006575,251
2022-03-11 10:56:40.863983,2022-03-11 10:56:40.857365,0.006618,250
2022-03-11 10:56:40.889964,2022-03-11 10:56:40.883348,0.006616,251
2022-03-11 10:56:40.915966,2022-03-11 10:56:40.909390,0.006576,249
2022-03-11 10:56:40.941958,2022-03-11 10:56:40.935386,0.006572,253
2022-03-11 10:56:40.993990,2022-03-11 10:56:40.987414,0.006576,252
2022-03-11 10:56:41.019963,2022-03-11 10:56:41.013367,0.006596,253
2022-03-11 10:56:41.071937,2022-03-11 10:56:41.065362,0.006575,253
2022-03-11 10:56:41.097980,2022-03-11 10:56:41.091355,0.006625,250
2022-03-11 10:56:41.123907,2022-03-11 10:56:41.117334,0.006573,253
2022-03-11 10:56:41.149935,2022-03-11 10:56:41.143371,0.006564,252
2022-03-11 10:56:41.175901,2022-03-11 10:56:41.169322,0.006579,252
2022-03-11 10:56:41.201936,2022-03-11 10:56:41.195315,0.006621,251
2022-03-11 10:56:41.227966,2022-03-11 10:56:41.221338,0.006628,253
