"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time since previous frame"
"1","2022-03-11 12:07:30,533260074","192.168.2.10","192.168.2.16","UDP","0xfc82 (64642)","256","0.000000000"
"2","2022-03-11 12:07:30,559282280","192.168.2.10","192.168.2.16","UDP","0xfc83 (64643)","256","0.026022206"
"3","2022-03-11 12:07:30,586395723","192.168.2.10","192.168.2.16","UDP","0xfc9a (64666)","256","0.027113443"
"4","2022-03-11 12:07:30,613432155","192.168.2.10","192.168.2.16","UDP","0xfcad (64685)","255","0.027036432"
"5","2022-03-11 12:07:30,639352709","192.168.2.10","192.168.2.16","UDP","0xfcba (64698)","254","0.025920554"
"6","2022-03-11 12:07:30,666419504","192.168.2.10","192.168.2.16","UDP","0xfcd3 (64723)","256","0.027066795"
"7","2022-03-11 12:07:30,693421752","192.168.2.10","192.168.2.16","UDP","0xfce3 (64739)","255","0.027002248"
"8","2022-03-11 12:07:30,720497452","192.168.2.10","192.168.2.16","UDP","0xfcf9 (64761)","256","0.027075700"
"9","2022-03-11 12:07:30,747454169","192.168.2.10","192.168.2.16","UDP","0xfd10 (64784)","252","0.026956717"
"10","2022-03-11 12:07:30,774388529","192.168.2.10","192.168.2.16","UDP","0xfd24 (64804)","256","0.026934360"
"11","2022-03-11 12:07:30,800318650","192.168.2.10","192.168.2.16","UDP","0xfd2c (64812)","257","0.025930121"
"12","2022-03-11 12:07:30,827479698","192.168.2.10","192.168.2.16","UDP","0xfd38 (64824)","255","0.027161048"
"13","2022-03-11 12:07:30,853338142","192.168.2.10","192.168.2.16","UDP","0xfd4b (64843)","255","0.025858444"
"14","2022-03-11 12:07:30,880451183","192.168.2.10","192.168.2.16","UDP","0xfd50 (64848)","254","0.027113041"
"15","2022-03-11 12:07:30,907307559","192.168.2.10","192.168.2.16","UDP","0xfd6a (64874)","256","0.026856376"
"16","2022-03-11 12:07:30,934317843","192.168.2.10","192.168.2.16","UDP","0xfd7f (64895)","255","0.027010284"
"17","2022-03-11 12:07:30,960282409","192.168.2.10","192.168.2.16","UDP","0xfd8d (64909)","256","0.025964566"
"18","2022-03-11 12:07:30,987490970","192.168.2.10","192.168.2.16","UDP","0xfd9c (64924)","256","0.027208561"
"19","2022-03-11 12:07:31,014379412","192.168.2.10","192.168.2.16","UDP","0xfda6 (64934)","257","0.026888442"
"20","2022-03-11 12:07:31,041392978","192.168.2.10","192.168.2.16","UDP","0xfdb9 (64953)","254","0.027013566"
"21","2022-03-11 12:07:31,068478271","192.168.2.10","192.168.2.16","UDP","0xfdc9 (64969)","255","0.027085293"
"22","2022-03-11 12:07:31,094237175","192.168.2.10","192.168.2.16","UDP","0xfdcb (64971)","254","0.025758904"
