"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time since previous frame"
"1","2022-03-11 10:56:40,348026597","192.168.2.1","239.255.255.250","SSDP","0x0000 (0)","381","0.000000000"
"2","2022-03-11 10:56:40,368003416","192.168.2.10","192.168.2.6","UDP","0xf87c (63612)","251","0.000000000"
"3","2022-03-11 10:56:40,368018051","192.168.2.10","192.168.2.8","UDP","0x67f6 (26614)","251","0.000000000"
"4","2022-03-11 10:56:40,395074728","192.168.2.10","192.168.2.6","UDP","0xf87f (63615)","254","0.027071312"
"5","2022-03-11 10:56:40,395083522","192.168.2.10","192.168.2.8","UDP","0x67fd (26621)","254","0.027065471"
"6","2022-03-11 10:56:40,420968891","192.168.2.10","192.168.2.6","UDP","0xf884 (63620)","252","0.025894163"
"7","2022-03-11 10:56:40,420989129","192.168.2.10","192.168.2.8","UDP","0x6805 (26629)","252","0.025905607"
"8","2022-03-11 10:56:40,446952971","192.168.2.10","192.168.2.6","UDP","0xf888 (63624)","251","0.025984080"
"9","2022-03-11 10:56:40,446968103","192.168.2.10","192.168.2.8","UDP","0x6818 (26648)","251","0.025978974"
"10","2022-03-11 10:56:40,472919061","192.168.2.10","192.168.2.6","UDP","0xf8a1 (63649)","253","0.025966090"
"11","2022-03-11 10:56:40,472934139","192.168.2.10","192.168.2.8","UDP","0x6824 (26660)","253","0.025966036"
"12","2022-03-11 10:56:40,499230365","192.168.2.10","192.168.2.6","UDP","0xf8a6 (63654)","251","0.026311304"
"13","2022-03-11 10:56:40,499245618","192.168.2.10","192.168.2.8","UDP","0x683e (26686)","251","0.026311479"
"14","2022-03-11 10:56:40,525943199","192.168.2.10","192.168.2.6","UDP","0xf8b1 (63665)","252","0.026712834"
"15","2022-03-11 10:56:40,525958905","192.168.2.10","192.168.2.8","UDP","0x684e (26702)","252","0.026713287"
"16","2022-03-11 10:56:40,551864957","192.168.2.10","192.168.2.6","UDP","0xf8c5 (63685)","252","0.025921758"
"17","2022-03-11 10:56:40,551872055","192.168.2.10","192.168.2.8","UDP","0x6857 (26711)","252","0.025913150"
"18","2022-03-11 10:56:40,577924661","192.168.2.10","192.168.2.6","UDP","0xf8ca (63690)","252","0.026059704"
"19","2022-03-11 10:56:40,577930428","192.168.2.10","192.168.2.8","UDP","0x6859 (26713)","252","0.026058373"
"20","2022-03-11 10:56:40,603966164","192.168.2.10","192.168.2.6","UDP","0xf8e4 (63716)","251","0.026041503"
"21","2022-03-11 10:56:40,603983712","192.168.2.10","192.168.2.8","UDP","0x6871 (26737)","251","0.026053284"
"22","2022-03-11 10:56:40,629929244","192.168.2.10","192.168.2.6","UDP","0xf8e7 (63719)","252","0.025963080"
