"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time since previous frame"
"1","2022-03-11 10:56:34,919929511","192.168.2.10","192.168.2.8","UDP","0x5cd1 (23761)","252","0.000000000"
"2","2022-03-11 10:56:34,945956886","192.168.2.10","192.168.2.8","UDP","0x5ce4 (23780)","251","0.026027375"
"3","2022-03-11 10:56:34,974994408","192.168.2.10","192.168.2.8","UDP","0x5cf8 (23800)","252","0.029037522"
"4","2022-03-11 10:56:35,002092121","192.168.2.10","192.168.2.8","UDP","0x5d0b (23819)","252","0.027097713"
"5","2022-03-11 10:56:35,029372892","192.168.2.10","192.168.2.8","UDP","0x5d0e (23822)","251","0.027280771"
"6","2022-03-11 10:56:35,055923112","192.168.2.10","192.168.2.8","UDP","0x5d23 (23843)","251","0.026550220"
"7","2022-03-11 10:56:35,081954144","192.168.2.10","192.168.2.8","UDP","0x5d33 (23859)","252","0.026031032"
"8","2022-03-11 10:56:35,108002109","192.168.2.10","192.168.2.8","UDP","0x5d43 (23875)","252","0.026047965"
"9","2022-03-11 10:56:35,134999393","192.168.2.10","192.168.2.8","UDP","0x5d5a (23898)","252","0.026997284"
"10","2022-03-11 10:56:35,160905699","192.168.2.10","192.168.2.8","UDP","0x5d6e (23918)","252","0.025906306"
"11","2022-03-11 10:56:35,187008009","192.168.2.10","192.168.2.8","UDP","0x5d6f (23919)","253","0.026102310"
"12","2022-03-11 10:56:35,213993568","192.168.2.10","192.168.2.8","UDP","0x5d7e (23934)","252","0.026985559"
"13","2022-03-11 10:56:35,240018029","192.168.2.10","192.168.2.8","UDP","0x5d8b (23947)","253","0.026024461"
"14","2022-03-11 10:56:35,266897691","192.168.2.10","192.168.2.8","UDP","0x5da3 (23971)","252","0.026879662"
"15","2022-03-11 10:56:35,293081515","192.168.2.10","192.168.2.8","UDP","0x5da6 (23974)","250","0.026183824"
"16","2022-03-11 10:56:35,319913554","192.168.2.10","192.168.2.8","UDP","0x5db7 (23991)","253","0.026832039"
"17","2022-03-11 10:56:35,346074454","192.168.2.10","192.168.2.8","UDP","0x5dc9 (24009)","252","0.026160900"
"18","2022-03-11 10:56:35,373088805","192.168.2.10","192.168.2.8","UDP","0x5dd8 (24024)","252","0.027014351"
"19","2022-03-11 10:56:35,400021606","192.168.2.10","192.168.2.8","UDP","0x5df0 (24048)","253","0.026932801"
"20","2022-03-11 10:56:35,426108154","192.168.2.10","192.168.2.8","UDP","0x5dfa (24058)","250","0.026086548"
"21","2022-03-11 10:56:35,452981870","192.168.2.10","192.168.2.8","UDP","0x5e04 (24068)","251","0.026873716"
"22","2022-03-11 10:56:35,478949854","192.168.2.10","192.168.2.8","UDP","0x5e17 (24087)","253","0.025967984"
"23","2022-03-11 10:56:35,504910262","192.168.2.10","192.168.2.8","UDP","0x5e26 (24102)","251","0.025960408"
"24","2022-03-11 10:56:35,531008004","192.168.2.10","192.168.2.8","UDP","0x5e3b (24123)","252","0.026097742"
"25","2022-03-11 10:56:35,557989139","192.168.2.10","192.168.2.8","UDP","0x5e4f (24143)","253","0.026981135"
"26","2022-03-11 10:56:35,584023657","192.168.2.10","192.168.2.8","UDP","0x5e68 (24168)","251","0.026034518"
"27","2022-03-11 10:56:35,610976893","192.168.2.10","192.168.2.8","UDP","0x5e6f (24175)","251","0.026953236"
"28","2022-03-11 10:56:35,637003366","192.168.2.10","192.168.2.8","UDP","0x5e89 (24201)","253","0.026026473"
"29","2022-03-11 10:56:35,663951619","192.168.2.10","192.168.2.8","UDP","0x5e9f (24223)","254","0.026948253"
"30","2022-03-11 10:56:35,689881244","192.168.2.10","192.168.2.8","UDP","0x5ea0 (24224)","252","0.025929625"
"31","2022-03-11 10:56:35,715898029","192.168.2.10","192.168.2.8","UDP","0x5eaa (24234)","251","0.026016785"
"32","2022-03-11 10:56:35,741989993","192.168.2.10","192.168.2.8","UDP","0x5eb4 (24244)","251","0.026091964"
"33","2022-03-11 10:56:35,767888735","192.168.2.10","192.168.2.8","UDP","0x5ecc (24268)","252","0.025898742"
"34","2022-03-11 10:56:35,794080785","192.168.2.10","192.168.2.8","UDP","0x5ecd (24269)","252","0.026192050"
