"0x4825 (18469)","b'[0.328549, 0.040787, 0.544710, 0.035018, -0.038772, -0.018183]#[-0.0436098776738879, -0.6972961342818624, 0.11203503836575517, -2.1555133976852683, 0.05346506331308081, 1.5000973748366035, 0.7993554484592813]#OPEN'"
"0x4834 (18484)","b'[0.328549, 0.040787, 0.544709, 0.035018, -0.038770, -0.018180]#[-0.04361391517493821, -0.6972978037406071, 0.11203697317045527, -2.155516738556979, 0.0534696712604246, 1.5000966627597807, 0.7993532090493375]#OPEN'"
"0x4840 (18496)","b'[0.328548, 0.040786, 0.544713, 0.035016, -0.038779, -0.018184]#[-0.04361321648688662, -0.697301423014256, 0.11203670881393644, -2.155511727249413, 0.053465805133422244, 1.5000973748366035, 0.7993561590818922]#OPEN'"
"0x4857 (18519)","b'[0.328547, 0.040788, 0.544714, 0.035017, -0.038783, -0.018180]#[-0.04360989198091498, -0.6973070156331991, 0.11203670880195696, -2.1555133976852683, 0.05346994048879327, 1.500097374836825, 0.7993583970367909]#OPEN'"
"0x486f (18543)","b'[0.328548, 0.040785, 0.544711, 0.035011, -0.038776, -0.018181]#[-0.043612277327967956, -0.6973021382701504, 0.11203336792975141, -2.155516738556979, 0.05346576278334988, 1.5000981886386868, 0.7993583927300492]#OPEN'"
"0x487c (18556)","b'[0.328548, 0.040787, 0.544714, 0.035023, -0.038784, -0.018184]#[-0.043607916692964294, -0.6973047642132149, 0.11203503847386609, -2.1555117272494133, 0.05346498284037308, 1.5000989007155099, 0.7993532090493374]#OPEN'"
"0x4895 (18581)","b'[0.328548, 0.040788, 0.544709, 0.035018, -0.038769, -0.018183]#[-0.04361224809870437, -0.697299474209231, 0.11203937673712576, -2.15551868739881, 0.053467557205747064, 1.5000966627597807, 0.7993561590818894]#OPEN'"
"0x48a8 (18600)","b'[0.328550, 0.040785, 0.544708, 0.035011, -0.038765, -0.018181]#[-0.043616054774411966, -0.6972925140230279, 0.11203553488771886, -2.155516738556979, 0.053466515070484194, 1.5000966627597807, 0.7993568711587125]#OPEN'"
"0x48aa (18602)","b'[0.328549, 0.040782, 0.544710, 0.035005, -0.038771, -0.018178]#[-0.04361782799574514, -0.6972978037365696, 0.11202974897684263, -2.1555150681211237, 0.05346672591186331, 1.5000959506829576, 0.7993568711587125]#OPEN'"
"0x48c2 (18626)","b'[0.328547, 0.040788, 0.544713, 0.035016, -0.038780, -0.018181]#[-0.0436087097850706, -0.6973067127277977, 0.11203503836560667, -2.1555150681211237, 0.05346791657694772, 1.5000959511674743, 0.7993585147743523]#OPEN'"
"0x48c9 (18633)","b'[0.328546, 0.040787, 0.544715, 0.035014, -0.038785, -0.018182]#[-0.04361153600735184, -0.6973099019031755, 0.11203670880146255, -2.1555133976852683, 0.05346813281008521, 1.5000966627597807, 0.7993594679777268]#OPEN'"
"0x48d5 (18645)","b'[0.328545, 0.040791, 0.544716, 0.035021, -0.038790, -0.018189]#[-0.04361279291564917, -0.697314876709598, 0.11204713050241667, -2.1555133976852683, 0.05346825122739799, 1.5000973748366035, 0.7993591091136055]#OPEN'"
"0x48dc (18652)","b'[0.328548, 0.040788, 0.544712, 0.035018, -0.038777, -0.018188]#[-0.043613206406436206, -0.6973024605719544, 0.1120417737222418, -2.155515068083439, 0.05346444322373191, 1.5000981886386868, 0.7993576849599678]#OPEN'"
