"0xf8dd (63709)","b'[0.334149, 0.048201, 0.545974, -0.033530, -0.194847, 0.031706]#[-0.05429617911002091, -0.7896677982263396, 0.11809078998337942, -2.25311286283656, 0.10212658419468575, 1.6638705300490064, 0.8536873616238164]#OPEN'"
"0xf8df (63711)","b'[0.334150, 0.048198, 0.545974, -0.033532, -0.194849, 0.031708]#[-0.05430146882356258, -0.7896677982263398, 0.11808689668095525, -2.253113822795864, 0.10212704202323952, 1.6638729968865709, 0.8536809464934025]#OPEN'"
"0xf8e5 (63717)","b'[0.334148, 0.048201, 0.545973, -0.033529, -0.194846, 0.031706]#[-0.05429784954587617, -0.789669468662195, 0.11809191089681602, -2.2531170461888896, 0.10212802111013498, 1.6638719548493635, 0.8536855762025642]#OPEN'"
"0xf8e8 (63720)","b'[0.334150, 0.048198, 0.545974, -0.033535, -0.194849, 0.031705]#[-0.054299798387707314, -0.7896677982263398, 0.11808833329696636, -2.2531150963294184, 0.10212455585737289, 1.6638744210402168, 0.8536867129699782]#OPEN'"
"0xf8ee (63726)","b'[0.334149, 0.048200, 0.545973, -0.033528, -0.194846, 0.031705]#[-0.05429617911002091, -0.789669468662195, 0.11808904062661493, -2.253117046184548, 0.10212583744966029, 1.6638719546871685, 0.8536837789477846]#OPEN'"
"0xf8f6 (63734)","b'[0.334149, 0.048200, 0.545974, -0.033531, -0.194845, 0.031706]#[-0.05429617911002091, -0.7896677982263398, 0.1180900124657313, -2.253114735480062, 0.10212618810933145, 1.6638705300490062, 0.8536884023118831]#OPEN'"
"0xf8f9 (63737)","b'[0.334150, 0.048199, 0.545973, -0.033536, -0.194844, 0.031708]#[-0.054299798387707314, -0.7896658493845087, 0.11809008001962198, -2.253115096203933, 0.10212764439807034, 1.6638719542086333, 0.8536892356546296]#OPEN'"
"0xf8ff (63743)","b'[0.334149, 0.048199, 0.545972, -0.033526, -0.194841, 0.031707]#[-0.05429784954587617, -0.7896658493845087, 0.11808856742554799, -2.253116798939993, 0.10212739777889646, 1.6638705300490062, 0.8536801471608397]#OPEN'"
"0xf914 (63764)","b'[0.334149, 0.048198, 0.545974, -0.033535, -0.194847, 0.031703]#[-0.05430146882356258, -0.7896677982263398, 0.11809000174940051, -2.253113399426542, 0.10212374288939456, 1.663870534577144, 0.8536867548421662]#OPEN'"
"0xf926 (63782)","b'[0.334149, 0.048198, 0.545975, -0.033529, -0.194848, 0.031702]#[-0.05430146882356258, -0.789669469625172, 0.11809000174806451, -2.253113426873519, 0.1021235073463856, 1.663869817978173, 0.8536813332946142]#OPEN'"
