"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time since previous frame"
"1","2022-03-11 12:07:41,355657734","192.168.2.10","192.168.2.16","UDP","0x1398 (5016)","256","0.000000000"
"2","2022-03-11 12:07:41,355666088","192.168.2.10","192.168.2.8","UDP","0x625b (25179)","256","0.000000000"
"3","2022-03-11 12:07:41,355671158","192.168.2.10","192.168.2.6","UDP","0x17c8 (6088)","256","0.000000000"
"4","2022-03-11 12:07:41,381762225","192.168.2.10","192.168.2.16","UDP","0x13ad (5037)","255","0.026104491"
"5","2022-03-11 12:07:41,381771171","192.168.2.10","192.168.2.8","UDP","0x626c (25196)","255","0.026105083"
"6","2022-03-11 12:07:41,381776626","192.168.2.10","192.168.2.6","UDP","0x17cb (6091)","255","0.026105468"
"7","2022-03-11 12:07:41,408491315","192.168.2.10","192.168.2.16","UDP","0x13c1 (5057)","255","0.026729090"
"8","2022-03-11 12:07:41,408498156","192.168.2.10","192.168.2.8","UDP","0x6276 (25206)","255","0.026726985"
"9","2022-03-11 12:07:41,408503011","192.168.2.10","192.168.2.6","UDP","0x17d4 (6100)","255","0.026726385"
"10","2022-03-11 12:07:41,435498060","192.168.2.10","192.168.2.16","UDP","0x13d7 (5079)","254","0.027006745"
"11","2022-03-11 12:07:41,435503408","192.168.2.10","192.168.2.8","UDP","0x627d (25213)","254","0.027005252"
"12","2022-03-11 12:07:41,435507418","192.168.2.10","192.168.2.6","UDP","0x17e1 (6113)","254","0.027004407"
"13","2022-03-11 12:07:41,462576536","192.168.2.10","192.168.2.16","UDP","0x13da (5082)","254","0.027078476"
"14","2022-03-11 12:07:41,462595172","192.168.2.10","192.168.2.8","UDP","0x6287 (25223)","254","0.027091764"
"15","2022-03-11 12:07:41,462610244","192.168.2.10","192.168.2.6","UDP","0x17ec (6124)","254","0.027102826"
"16","2022-03-11 12:07:41,489456844","192.168.2.10","192.168.2.16","UDP","0x13e8 (5096)","255","0.026880308"
"17","2022-03-11 12:07:41,489465741","192.168.2.10","192.168.2.8","UDP","0x629c (25244)","255","0.026870569"
"18","2022-03-11 12:07:41,489470557","192.168.2.10","192.168.2.6","UDP","0x17f6 (6134)","255","0.026860313"
"19","2022-03-11 12:07:41,516491275","192.168.2.10","192.168.2.16","UDP","0x13ea (5098)","254","0.027034431"
"20","2022-03-11 12:07:41,516510614","192.168.2.10","192.168.2.8","UDP","0x62b2 (25266)","254","0.027044873"
"21","2022-03-11 12:07:41,516526915","192.168.2.10","192.168.2.6","UDP","0x1803 (6147)","254","0.027056358"
"22","2022-03-11 12:07:41,543542840","192.168.2.10","192.168.2.16","UDP","0x13f9 (5113)","255","0.027051565"
"23","2022-03-11 12:07:41,543590232","192.168.2.10","192.168.2.8","UDP","0x62be (25278)","255","0.027079618"
"24","2022-03-11 12:07:41,543593766","192.168.2.10","192.168.2.6","UDP","0x181a (6170)","255","0.027066851"
"25","2022-03-11 12:07:41,570510946","192.168.2.10","192.168.2.16","UDP","0x140d (5133)","253","0.026968106"
"26","2022-03-11 12:07:41,570527337","192.168.2.10","192.168.2.8","UDP","0x62cd (25293)","253","0.026937105"
"27","2022-03-11 12:07:41,570531641","192.168.2.10","192.168.2.6","UDP","0x181e (6174)","253","0.026937875"
"28","2022-03-11 12:07:41,596548839","192.168.2.10","192.168.2.16","UDP","0x1413 (5139)","255","0.026037893"
"29","2022-03-11 12:07:41,596582244","192.168.2.10","192.168.2.8","UDP","0x62de (25310)","255","0.026054907"
"30","2022-03-11 12:07:41,596587685","192.168.2.10","192.168.2.6","UDP","0x182a (6186)","255","0.026056044"
"31","2022-03-11 12:07:41,622645206","192.168.2.10","192.168.2.16","UDP","0x1428 (5160)","256","0.026096367"
"32","2022-03-11 12:07:41,622683824","192.168.2.10","192.168.2.8","UDP","0x62e2 (25314)","256","0.026101580"
"33","2022-03-11 12:07:41,622694618","192.168.2.10","192.168.2.6","UDP","0x1832 (6194)","256","0.026106933"
"34","2022-03-11 12:07:41,649594579","192.168.2.10","192.168.2.16","UDP","0x143d (5181)","254","0.026949373"
"35","2022-03-11 12:07:41,649637061","192.168.2.10","192.168.2.8","UDP","0x62e6 (25318)","254","0.026953237"
"36","2022-03-11 12:07:41,649647685","192.168.2.10","192.168.2.6","UDP","0x183d (6205)","254","0.026953067"
"37","2022-03-11 12:07:41,676525922","192.168.2.10","192.168.2.16","UDP","0x1450 (5200)","254","0.026931343"
"38","2022-03-11 12:07:41,676549363","192.168.2.10","192.168.2.8","UDP","0x62f6 (25334)","254","0.026912302"
