"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time delta from previous captured frame"
"54","2022-03-11 10:46:40,627525553","192.168.2.10","192.168.2.6","UDP","0x34f9 (13561)","257","0.026907474"
"55","2022-03-11 10:46:40,654491214","192.168.2.10","192.168.2.6","UDP","0x350d (13581)","256","0.026965661"
"56","2022-03-11 10:46:40,680427024","192.168.2.10","192.168.2.6","UDP","0x3516 (13590)","257","0.025935810"
"57","2022-03-11 10:46:40,707594035","192.168.2.10","192.168.2.6","UDP","0x352b (13611)","256","0.027167011"
"58","2022-03-11 10:46:40,734583273","192.168.2.10","192.168.2.6","UDP","0x3530 (13616)","255","0.026989238"
"59","2022-03-11 10:46:40,761492483","192.168.2.10","192.168.2.6","UDP","0x3541 (13633)","253","0.026909210"
"60","2022-03-11 10:46:40,788621540","192.168.2.10","192.168.2.6","UDP","0x354b (13643)","257","0.027129057"
"61","2022-03-11 10:46:40,815579238","192.168.2.10","192.168.2.6","UDP","0x3552 (13650)","257","0.026957698"
"62","2022-03-11 10:46:40,841631341","192.168.2.10","192.168.2.6","UDP","0x3569 (13673)","256","0.026052103"
"63","2022-03-11 10:46:40,867899115","192.168.2.10","192.168.2.6","UDP","0x3582 (13698)","256","0.026267774"
"64","2022-03-11 10:46:40,893676635","192.168.2.10","192.168.2.6","UDP","0x359a (13722)","256","0.025777520"
"65","2022-03-11 10:46:40,920503081","192.168.2.10","192.168.2.6","UDP","0x35a1 (13729)","257","0.026826446"
"66","2022-03-11 10:46:40,947633955","192.168.2.10","192.168.2.6","UDP","0x35a2 (13730)","253","0.027130874"
"67","2022-03-11 10:46:40,974578368","192.168.2.10","192.168.2.6","UDP","0x35b5 (13749)","256","0.026944413"
"68","2022-03-11 10:46:41,001477273","192.168.2.10","192.168.2.6","UDP","0x35bd (13757)","253","0.026898905"
"69","2022-03-11 10:46:41,028620526","192.168.2.10","192.168.2.6","UDP","0x35ce (13774)","256","0.027143253"
"70","2022-03-11 10:46:41,055503677","192.168.2.10","192.168.2.6","UDP","0x35d2 (13778)","257","0.026883151"
"71","2022-03-11 10:46:41,082572302","192.168.2.10","192.168.2.6","UDP","0x35ed (13805)","254","0.027068625"
"72","2022-03-11 10:46:41,108569966","192.168.2.10","192.168.2.6","UDP","0x35fc (13820)","255","0.025997664"
"73","2022-03-11 10:46:41,135565274","192.168.2.10","192.168.2.6","UDP","0x3614 (13844)","256","0.026995308"
"74","2022-03-11 10:46:41,161635075","192.168.2.10","192.168.2.6","UDP","0x362e (13870)","256","0.026069801"
"75","2022-03-11 10:46:41,188654412","192.168.2.10","192.168.2.6","UDP","0x3646 (13894)","256","0.027019337"
"76","2022-03-11 10:46:41,215634757","192.168.2.10","192.168.2.6","UDP","0x364b (13899)","255","0.026980345"
"77","2022-03-11 10:46:41,241575375","192.168.2.10","192.168.2.6","UDP","0x3661 (13921)","254","0.025940618"
"78","2022-03-11 10:46:41,268572958","192.168.2.10","192.168.2.6","UDP","0x3674 (13940)","255","0.026997583"
"79","2022-03-11 10:46:41,295693467","192.168.2.10","192.168.2.6","UDP","0x3684 (13956)","257","0.027120509"
"80","2022-03-11 10:46:41,322613230","192.168.2.10","192.168.2.6","UDP","0x3690 (13968)","256","0.026919763"
"81","2022-03-11 10:46:41,349584712","192.168.2.10","192.168.2.6","UDP","0x36a2 (13986)","256","0.026971482"
"82","2022-03-11 10:46:41,376566744","192.168.2.10","192.168.2.6","UDP","0x36ac (13996)","254","0.026982032"
"83","2022-03-11 10:46:41,403593457","192.168.2.10","192.168.2.6","UDP","0x36ba (14010)","249","0.027026713"
"84","2022-03-11 10:46:41,430568793","192.168.2.10","192.168.2.6","UDP","0x36c6 (14022)","255","0.026975336"
"85","2022-03-11 10:46:41,457615004","192.168.2.10","192.168.2.6","UDP","0x36ca (14026)","255","0.027046211"
"86","2022-03-11 10:46:41,484477745","192.168.2.10","192.168.2.6","UDP","0x36cd (14029)","255","0.026862741"
"87","2022-03-11 10:46:41,511530350","192.168.2.10","192.168.2.6","UDP","0x36e4 (14052)","256","0.027052605"
"88","2022-03-11 10:46:41,538580577","192.168.2.10","192.168.2.6","UDP","0x36e9 (14057)","257","0.027050227"
"89","2022-03-11 10:46:41,565570130","192.168.2.10","192.168.2.6","UDP","0x36fe (14078)","257","0.026989553"
"90","2022-03-11 10:46:41,591658495","192.168.2.10","192.168.2.6","UDP","0x3717 (14103)","254","0.026088365"
"91","2022-03-11 10:46:41,618563043","192.168.2.10","192.168.2.6","UDP","0x372c (14124)","253","0.026904548"
"92","2022-03-11 10:46:41,645538519","192.168.2.10","192.168.2.6","UDP","0x3741 (14145)","256","0.026975476"
