"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time since previous frame"
"53","2022-03-11 10:56:23,667160151","192.168.2.10","192.168.2.6","UDP","0xd70c (55052)","253","0.027072605"
"54","2022-03-11 10:56:23,694105718","192.168.2.10","192.168.2.6","UDP","0xd715 (55061)","249","0.026945567"
"55","2022-03-11 10:56:23,720862264","192.168.2.10","192.168.2.6","UDP","0xd720 (55072)","252","0.026756546"
"56","2022-03-11 10:56:23,748092575","192.168.2.10","192.168.2.6","UDP","0xd721 (55073)","251","0.027230311"
"57","2022-03-11 10:56:23,775128002","192.168.2.10","192.168.2.6","UDP","0xd72e (55086)","253","0.027035427"
"58","2022-03-11 10:56:23,802085191","192.168.2.10","192.168.2.6","UDP","0xd735 (55093)","251","0.026957189"
"59","2022-03-11 10:56:23,829126685","192.168.2.10","192.168.2.6","UDP","0xd747 (55111)","252","0.027041494"
"60","2022-03-11 10:56:23,855936153","192.168.2.10","192.168.2.6","UDP","0xd758 (55128)","251","0.026809468"
"61","2022-03-11 10:56:23,883216427","192.168.2.10","192.168.2.6","UDP","0xd769 (55145)","254","0.027280274"
"62","2022-03-11 10:56:23,909975413","192.168.2.10","192.168.2.6","UDP","0xd774 (55156)","253","0.026758986"
"63","2022-03-11 10:56:23,937123546","192.168.2.10","192.168.2.6","UDP","0xd789 (55177)","252","0.027148133"
"64","2022-03-11 10:56:23,963958729","192.168.2.10","192.168.2.6","UDP","0xd79f (55199)","253","0.026835183"
"65","2022-03-11 10:56:23,991125750","192.168.2.10","192.168.2.6","UDP","0xd7ac (55212)","253","0.027167021"
"66","2022-03-11 10:56:24,018085483","192.168.2.10","192.168.2.6","UDP","0xd7c1 (55233)","252","0.026959733"
"67","2022-03-11 10:56:24,045110383","192.168.2.10","192.168.2.6","UDP","0xd7c4 (55236)","251","0.027024900"
"68","2022-03-11 10:56:24,072003339","192.168.2.10","192.168.2.6","UDP","0xd7d0 (55248)","251","0.026892956"
"69","2022-03-11 10:56:24,099022648","192.168.2.10","192.168.2.6","UDP","0xd7d6 (55254)","254","0.027019309"
"70","2022-03-11 10:56:24,125984711","192.168.2.10","192.168.2.6","UDP","0xd7e8 (55272)","251","0.026962063"
"71","2022-03-11 10:56:24,153243466","192.168.2.10","192.168.2.6","UDP","0xd7ec (55276)","252","0.027258755"
"72","2022-03-11 10:56:24,180091775","192.168.2.10","192.168.2.6","UDP","0xd7f6 (55286)","252","0.026848309"
