"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time since previous frame"
"1","2022-03-11 12:07:25,428755523","192.168.2.10","192.168.2.6","UDP","0xf8cb (63691)","252","0.000000000"
"2","2022-03-11 12:07:25,454654595","192.168.2.10","192.168.2.6","UDP","0xf8dd (63709)","254","0.025899072"
"3","2022-03-11 12:07:25,480603005","192.168.2.10","192.168.2.6","UDP","0xf8df (63711)","255","0.025948410"
"4","2022-03-11 12:07:25,506743481","192.168.2.10","192.168.2.6","UDP","0xf8e5 (63717)","255","0.026140476"
"5","2022-03-11 12:07:25,532669103","192.168.2.10","192.168.2.6","UDP","0xf8e8 (63720)","257","0.025925622"
"6","2022-03-11 12:07:25,558728208","192.168.2.10","192.168.2.6","UDP","0xf8ee (63726)","254","0.026059105"
"7","2022-03-11 12:07:25,584736253","192.168.2.10","192.168.2.6","UDP","0xf8f6 (63734)","254","0.026008045"
"8","2022-03-11 12:07:25,610855068","192.168.2.10","192.168.2.6","UDP","0xf8f9 (63737)","256","0.026118815"
"9","2022-03-11 12:07:25,636807234","192.168.2.10","192.168.2.6","UDP","0xf8ff (63743)","255","0.025952166"
"10","2022-03-11 12:07:25,662703462","192.168.2.10","192.168.2.6","UDP","0xf914 (63764)","254","0.025896228"
"11","2022-03-11 12:07:25,688896019","192.168.2.10","192.168.2.6","UDP","0xf926 (63782)","252","0.026192557"
"12","2022-03-11 12:07:25,714778572","192.168.2.10","192.168.2.6","UDP","0xf92f (63791)","256","0.025882553"
"13","2022-03-11 12:07:25,740805067","192.168.2.10","192.168.2.6","UDP","0xf943 (63811)","253","0.026026495"
"14","2022-03-11 12:07:25,766704824","192.168.2.10","192.168.2.6","UDP","0xf94e (63822)","254","0.025899757"
"15","2022-03-11 12:07:25,792847404","192.168.2.10","192.168.2.6","UDP","0xf959 (63833)","255","0.026142580"
"16","2022-03-11 12:07:25,818800450","192.168.2.10","192.168.2.6","UDP","0xf964 (63844)","254","0.025953046"
"17","2022-03-11 12:07:25,844776229","192.168.2.10","192.168.2.6","UDP","0xf96a (63850)","255","0.025975779"
"18","2022-03-11 12:07:25,870674643","192.168.2.10","192.168.2.6","UDP","0xf97f (63871)","256","0.025898414"
"19","2022-03-11 12:07:25,896764069","192.168.2.10","192.168.2.6","UDP","0xf982 (63874)","257","0.026089426"
"20","2022-03-11 12:07:25,922709560","192.168.2.10","192.168.2.6","UDP","0xf986 (63878)","257","0.025945491"
"21","2022-03-11 12:07:25,948804720","192.168.2.10","192.168.2.6","UDP","0xf992 (63890)","256","0.026095160"
"22","2022-03-11 12:07:25,974729972","192.168.2.10","192.168.2.6","UDP","0xf9a1 (63905)","257","0.025925252"
"23","2022-03-11 12:07:26,000973564","192.168.2.10","192.168.2.6","UDP","0xf9b2 (63922)","255","0.026243592"
"24","2022-03-11 12:07:26,027826351","192.168.2.10","192.168.2.6","UDP","0xf9bb (63931)","255","0.026852787"
"25","2022-03-11 12:07:26,053723156","192.168.2.10","192.168.2.6","UDP","0xf9d5 (63957)","254","0.025896805"
"26","2022-03-11 12:07:26,079658033","192.168.2.10","192.168.2.6","UDP","0xf9e0 (63968)","256","0.025934877"
"27","2022-03-11 12:07:26,105803359","192.168.2.10","192.168.2.6","UDP","0xf9f3 (63987)","255","0.026145326"
"28","2022-03-11 12:07:26,131638848","192.168.2.10","192.168.2.6","UDP","0xfa09 (64009)","255","0.025835489"
"29","2022-03-11 12:07:26,157752174","192.168.2.10","192.168.2.6","UDP","0xfa0f (64015)","254","0.026113326"
"30","2022-03-11 12:07:26,183772768","192.168.2.10","192.168.2.6","UDP","0xfa21 (64033)","256","0.026020594"
"31","2022-03-11 12:07:26,209828806","192.168.2.10","192.168.2.6","UDP","0xfa30 (64048)","254","0.026056038"
"32","2022-03-11 12:07:26,235737089","192.168.2.10","192.168.2.6","UDP","0xfa40 (64064)","255","0.025908283"
"33","2022-03-11 12:07:26,261760939","192.168.2.10","192.168.2.6","UDP","0xfa52 (64082)","254","0.026023850"
